name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp,name_tr
Ancient Terraforming Device,Dispositivo Antigo de Terraformação,Ancien appareil de terraformation,Uraltes Terraforming-Gerät,Pradawne urządzenie terraformujące,Древнее терраформирующее устройство,远古地球化设备,Dispositivo antiguo de terraformación,Antik Dünyalaştırma Cihazı
Designed Forestation,Florestamento Projetado,Boisement par design,Gestaltete Aufforstung,Planowe zalesianie,Дизайн лесов,计划造林,Forestación designada,Tasarlanmış Ağaçlandırma
Lake Vaporators,Condensadores de Lagos,Vaporateurs de lac,See-Vaporatoren,Parownice jeziorne,Выпариватели озер,湖水蒸发器,Evaporadores de lago,Göl Buharlaştırıcılar
Landscaping Nanites,Nanites de Paisagismo,Nanites d'aménagement du paysage,Landschaftsbau-Nanomaschinen,Nanity krajobrazowe,Проектирование нанитами,地形改造纳米机器人,Nanites de paisajismo,Arazi Şekillendirme Nanitleri
Resilient Vegetation,Vegetação Resiliente,Végétation résiliente,Widerstandsfähige Vegetation,Odporna roślinność,Выносливая растительность,顽强植被,Vegetación resistente,Dayanıklı Bitki Örtüsü
Capture Asteroid,Capture Asteroides,Capturer un astéroïde,Asteroid fangen,Przechwyt asteroidy,Захватите астероид,捕获小行星,Capturar asteroide,Asteroit Yakala
Cargobay of holding,Depósito do compartimento de carga,Soute magique,Nimmervoller Laderaum,Pojemna ładownia,Вместительный грузовой отсек,货舱,Bodega de carga de contención,Yük kompartımanı
Construction Nanites ,Nanites de Construção ,Nanites de Construction ,Nanobaumaschinen ,Nanity budowlane ,Строительные наниты ,建筑纳米机器人 ,Nanorrobots constructores ,İnşaat Nanitleri 
Global Support,Suporte Global,Soutien mondial,Globale Unterstützung,Globalne wsparcie,Международная поддержка,全球支持,Apoyo global,Küresel Destek
Mars Marketing,Marketing de Marte,Marketing martien,Mars-Marketing,Reklama Marsa,Реклама Марса,火星营销,Publicidad marciana,Mars Pazarlama
Mole People,Povo-Toupeira,Gens taupes,Maulwurf-Menschen,Ludzie-krety,Люди-кроты,鼹鼠人,Hombres topo,Köstebek Halkı
Vehicle Weight Optimizations,Otimizações de Peso do Veículo,Les optimisations de poids du véhicule,Optimierungen des Fahrzeuggewichts,Optymalizacja masy pojazdu,Оптимизация веса аппаратов,载具重量优化,Optimización de peso de vehículos,Araç Ağırlık İyileştirmeleri
Hull Polarization,Polarização de Casco,Polarisation de la Coque,Hüllenpolarisierung,Polaryzacja kadłuba,Поляризация корпуса,建筑极化,Polarización de la cubierta,Gövde Polarizasyonu
Project Phoenix,Projeto Fênix,Projet Phénix,Phönix-Projekt,Projekt Feniks,Проект «Феникс»,凤凰计划,Proyecto Fénix,Anka Projesi
Soylent Green,Tabletes Verdes,Soleil Vert,Soylent Green,Zielona pożywka,Сойлентовая зелень,绿色食物,Soylent Green,Özel Besin Takviyesi
Neural Empathy,Empatia Neural,Empathie Neurale,Neurale Empathie,Empatia neuronalna,Нейронная эмпатия,感同身受,Empatía neural,Nöral Empati
Rapid Sleep,Sono Rápido,Sommeil Rapide,Schnellschlaf,Szybki sen,Быстрый сон,快速睡眠,Sueño rápido,Hızlı Uyku
