Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12
0,S,0,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigCliffsCMix_02,,Martianborn Ingenuity,Vocation-Oriented Society,Martian Diet,Giant Crops,Rapid Sleep,Superfungus,Hypersensitive Photovoltaics,Superconducting Computing,Construction Nanites ,Multispiral Architecture,Core Metals,Cloning
0,S,1,E,Relatively Flat,100,-1160,-1,2,2,4,1,2,1,4,1,BlankBig_03,,Frictionless Composites,Printed Electronics,Autonomous Hubs,Landscaping Nanites,Hypersensitive Photovoltaics,Extractor AI,Sustained Workload,Martian Diet,Resilient Vegetation,Construction Nanites ,Core Rare Metals,Dry Farming
0,S,1,W,Relatively Flat,100,-1160,-3,2,2,4,1,2,2,4,1,BlankBig_01,,Safe Mode,Artificial Muscles,Landscaping Nanites,Alien Imprints,Vocation-Oriented Society,Neural Empathy,Neo-Concrete,Frictionless Composites,Dry Farming,Martian Diet,Nocturnal Adaptation,Prefab Compression
0,S,2,E,Relatively Flat,140,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_16,,Dome Streamlining,Autonomous Hubs,Safe Mode,Prefab Compression,Magnetic Extraction,Overcharge Amplifications,Dry Farming,Alien Imprints,Inspiring Architecture,Ancient Terraforming Device,Nocturnal Adaptation,Good Vibrations
0,S,2,W,Relatively Flat,100,-929,-3,2,2,4,1,2,3,4,1,BlankBig_01,,Vector Pump,Construction Nanites ,Plutonium Synthesis,Landscaping Nanites,Extractor AI,Superconducting Computing,Dry Farming,Neural Empathy,Overcharge Amplifications,Dome Streamlining,Nano Refinement,Nocturnal Adaptation
0,S,3,E,Steep,220,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_10,,Artificial Muscles,Frictionless Composites,Service Bots,Good Vibrations,Forever Young,Superconducting Computing,Rapid Sleep,Martianborn Ingenuity,The Positronic Brain,Gene Selection,Cloning,Nocturnal Adaptation
0,S,3,W,Relatively Flat,140,-1276,-3,2,2,4,1,1,3,4,1,BlankBigHeartCMix_03,,Project Phoenix,Giant Crops,Multispiral Architecture,Ancient Terraforming Device,Interplanetary Learning,Gene Selection,Artificial Muscles,Neo-Concrete,Forever Young,Neural Empathy,Cloning,Plasma Rocket
0,S,4,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_08,,Printed Electronics,Inspiring Architecture,Superior Cables,Service Bots,Nocturnal Adaptation,Extractor AI,Advanced Drone Drive,Gene Selection,Frictionless Composites,Hypersensitive Photovoltaics,Forever Young,Dry Farming
0,S,4,W,Relatively Flat,100,-1160,-10,2,2,4,1,2,3,4,1,BlankBig_01,Opportunity Landing Area,Superfungus,Alien Imprints,Good Vibrations,Martian Steel,Superior Pipes,Martianborn Ingenuity,The Positronic Brain,Frictionless Composites,Hull Polarization,Interplanetary Learning,Hive Mind ,Martian Diet
0,S,5,E,Relatively Flat,140,-698,-1,2,2,4,1,2,1,4,1,BlankBigHeartCMix_03,,Good Vibrations,The Positronic Brain,Vocation-Oriented Society,Vector Pump,Superfungus,Nano Refinement,Cryo-sleep,Dome Streamlining,Prefab Compression,Plasma Rocket,Hypersensitive Photovoltaics,Factory Automation
