Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12
0,S,0,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigCliffsCMix_02,,Mars Marketing,Superior Pipes,Mole People,The Positronic Brain,Hive Mind ,Gem Architecture,Plutonium Synthesis,Global Support,Landscaping Nanites,Project Phoenix,Vehicle Weight Optimizations,Advanced Drone Drive
0,S,1,E,Relatively Flat,100,-1160,-1,2,2,4,1,2,1,4,1,BlankBig_03,,Superior Cables,Zero-Space Computing,Mars Marketing,Soylent Green,Superfungus,Alien Imprints,Superior Pipes,Mole People,Safe Mode,Space Rehabilitation,Factory Automation,Martian Diet
0,S,1,W,Relatively Flat,100,-1160,-3,2,2,4,1,2,2,4,1,BlankBig_01,,Mars Marketing,Giant Crops,Gene Selection,Nocturnal Adaptation,Magnetic Extraction,Advanced Drone Drive,Rapid Sleep,Hypersensitive Photovoltaics,Mole People,Core Metals,Autonomous Hubs,Wireless Power
0,S,2,E,Relatively Flat,140,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_16,,Plasma Rocket,Printed Electronics,Gene Selection,Frictionless Composites,Martian Steel,Safe Mode,Mole People,Hull Polarization,Alien Imprints,Core Metals,Global Support,Artificial Muscles
0,S,2,W,Relatively Flat,100,-929,-3,2,2,4,1,2,3,4,1,BlankBig_01,,Good Vibrations,Factory Automation,Eternal Fusion,Giant Crops,Cargobay of holding,Gem Architecture,Interplanetary Learning,Dome Streamlining,Advanced Drone Drive,Service Bots,Construction Nanites ,Superconducting Computing
0,S,3,E,Steep,220,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_10,,Eternal Fusion,Hypersensitive Photovoltaics,Ancient Terraforming Device,Nocturnal Adaptation,Service Bots,Martian Steel,Extractor AI,Nano Refinement,Rapid Sleep,Lake Vaporators,Neo-Concrete,Alien Imprints
0,S,3,W,Relatively Flat,140,-1276,-3,2,2,4,1,1,3,4,1,BlankBigHeartCMix_03,,Gene Selection,Zero-Space Computing,Cryo-sleep,Construction Nanites ,Capture Asteroid,Dome Streamlining,Plasma Rocket,Ancient Terraforming Device,Superfungus,Giant Crops,Good Vibrations,Alien Imprints
0,S,4,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_08,,Good Vibrations,Mars Marketing,Cryo-sleep,Neural Empathy,Soylent Green,Dome Streamlining,Dry Farming,Vector Pump,Plutonium Synthesis,Interplanetary Learning,Artificial Muscles,Project Phoenix
0,S,4,W,Relatively Flat,100,-1160,-10,2,2,4,1,2,3,4,1,BlankBig_01,Opportunity Landing Area,Overcharge Amplifications,Sustained Workload,Printed Electronics,Prefab Compression,Magnetic Extraction,The Positronic Brain,Hypersensitive Photovoltaics,Core Rare Metals,Cryo-sleep,Superior Pipes,Plasma Rocket,Multispiral Architecture
0,S,5,E,Relatively Flat,140,-698,-1,2,2,4,1,2,1,4,1,BlankBigHeartCMix_03,,Interplanetary Learning,Alien Imprints,Ancient Terraforming Device,Designed Forestation,Martianborn Ingenuity,Hypersensitive Photovoltaics,Plutonium Synthesis,Gem Architecture,Mars Marketing,Landscaping Nanites,Printed Electronics,Global Support
0,S,5,W,Relatively Flat,140,-1045,-10,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_08,Opportunity Landing Area,Mole People,Superior Cables,Superconducting Computing,Service Bots,Inspiring Architecture,Neo-Concrete,Extractor AI,Sustained Workload,Superior Pipes,Gene Selection,Superfungus,Multispiral Architecture
0,S,6,E,Relatively Flat,100,-929,-6,2,2,4,1,2,2,4,1,BlankBig_01,Arabia Terra,Inspiring Architecture,Nocturnal Adaptation,Rapid Sleep,Eternal Fusion,Hull Polarization,Martianborn Ingenuity,Landscaping Nanites,Martian Diet,Mole People,Mars Marketing,Lake Vaporators,Space Rehabilitation
0,S,6,W,Relatively Flat,140,-1276,-1,2,2,4,2,1,3,3,1,BlankBigTerraceCMix_04,Opportunity Landing Area,Plasma Rocket,Zero-Space Computing,Advanced Drone Drive,Prefab Compression,Mars Marketing,Dome Streamlining,Nocturnal Adaptation,Safe Mode,Eternal Fusion,Cryo-sleep,Martianborn Ingenuity,Nano Refinement
0,S,7,E,Relatively Flat,140,-814,-11,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_16,Arabia Terra,Dome Streamlining,Martianborn Ingenuity,Capture Asteroid,Plutonium Synthesis,Artificial Muscles,Advanced Drone Drive,Space Rehabilitation,Service Bots,Landscaping Nanites,Martian Steel,Cargobay of holding,Interplanetary Learning
0,S,7,W,Relatively Flat,100,-1506,-1,2,2,4,2,1,3,3,1,BlankBig_02,,Interplanetary Learning,Extractor AI,Capture Asteroid,Plasma Rocket,Superior Cables,Factory Automation,Overcharge Amplifications,Neural Empathy,Vector Pump,Lake Vaporators,Eternal Fusion,Resilient Vegetation
0,S,8,E,Relatively Flat,100,-698,-15,2,2,4,1,2,3,4,1,BlankBig_03,Arabia Terra,Core Rare Metals,Landscaping Nanites,Martianborn Ingenuity,Global Support,Service Bots,Nano Refinement,Superconducting Computing,Factory Automation,The Positronic Brain,Martian Diet,Resilient Vegetation,Vehicle Weight Optimizations
0,S,8,W,Relatively Flat,140,-1737,-1,2,2,4,2,1,3,3,1,BlankBigTerraceCMix_04,,Frictionless Composites,Alien Imprints,Superior Cables,Martian Diet,Plutonium Synthesis,Cargobay of holding,Overcharge Amplifications,Core Rare Metals,Interplanetary Learning,The Positronic Brain,Forever Young,Magnetic Extraction
0,S,9,E,Relatively Flat,140,-814,-15,2,2,4,1,2,3,4,1,BlankBigCliffsCMix_01,Arabia Terra,Designed Forestation,Superconducting Computing,Sustained Workload,Magnetic Extraction,Service Bots,Frictionless Composites,Construction Nanites ,Plasma Rocket,Rapid Sleep,Prefab Compression,Superior Pipes,Core Rare Metals
0,S,9,W,Relatively Flat,100,-1622,-1,2,2,4,2,1,3,3,1,BlankBig_02,Opportunity Landing Area,Lake Vaporators,Good Vibrations,Ancient Terraforming Device,Plutonium Synthesis,Cryo-sleep,Zero-Space Computing,Artificial Muscles,Factory Automation,Inspiring Architecture,Core Water,Superfungus,Advanced Drone Drive
