Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12
0,S,0,E,Relatively Flat,140,-929,-1,2,,4,1,2,1,4,1,BlankBigCliffsCMix_02,,Space Rehabilitation,Neo-Concrete,Wireless Power,Alien Imprints,Gene Selection,Hive Mind ,Soylent Green,Core Water,Printed Electronics,Forever Young,Superior Cables,Project Phoenix
0,S,1,E,Relatively Flat,100,-1160,-1,2,,4,1,2,1,4,1,BlankBig_03,,Giant Crops,Extractor AI,Space Rehabilitation,Core Rare Metals,Good Vibrations,Advanced Drone Drive,Neo-Concrete,Wireless Power,Nocturnal Adaptation,Martian Diet,Vector Pump,Superior Pipes
0,S,1,W,Relatively Flat,100,-1160,-3,2,,4,1,2,2,4,1,BlankBig_01,,Space Rehabilitation,Magnetic Extraction,Martian Steel,Dry Farming,Overcharge Amplifications,Forever Young,Superior Pipes,Dome Streamlining,Wireless Power,Nano Refinement,Eternal Fusion,Artificial Muscles
0,S,2,E,Relatively Flat,140,-1160,-1,2,,4,1,2,1,4,1,BlankBigTerraceCMix_16,,Superconducting Computing,Martian Steel,Prefab Compression,Cryo-sleep,Nocturnal Adaptation,Wireless Power,Core Metals,Advanced Drone Drive,Nano Refinement,Hive Mind ,Zero-Space Computing,Sustained Workload
0,S,2,W,Relatively Flat,100,-929,-3,2,,4,1,2,3,4,1,BlankBig_01,,Factory Automation,Superfungus,Magnetic Extraction,The Positronic Brain,Gem Architecture,Forever Young,Safe Mode,Hypersensitive Photovoltaics,Giant Crops,Rapid Sleep,Core Rare Metals,Alien Imprints
0,S,3,E,Steep,220,-1160,-1,2,,4,1,2,1,4,1,BlankBigTerraceCMix_10,,Superfungus,Dome Streamlining,Construction Nanites ,Dry Farming,Cryo-sleep,Frictionless Composites,Superior Pipes,Project Phoenix,Sustained Workload,Advanced Drone Drive,Neo-Concrete,Hive Mind 
0,S,3,W,Relatively Flat,140,-1276,-3,2,,4,1,1,3,4,1,BlankBigHeartCMix_03,,Martian Steel,Extractor AI,Plasma Rocket,Safe Mode,Rapid Sleep,Gem Architecture,Construction Nanites ,Good Vibrations,Magnetic Extraction,Factory Automation,Advanced Drone Drive,Space Rehabilitation
0,S,4,E,Relatively Flat,140,-929,-1,2,,4,1,2,1,4,1,BlankBigTerraceCMix_08,,Factory Automation,Space Rehabilitation,Plasma Rocket,Superior Cables,Core Rare Metals,Gem Architecture,Martianborn Ingenuity,Cloning,Zero-Space Computing,Core Water,Soylent Green,Superfungus
0,S,4,W,Relatively Flat,100,-1160,-10,2,,4,1,2,3,4,1,BlankBig_01,Opportunity Landing Area,Plutonium Synthesis,Superconducting Computing,Overcharge Amplifications,Alien Imprints,Dome Streamlining,Inspiring Architecture,Plasma Rocket,Neo-Concrete,Service Bots,Frictionless Composites,Construction Nanites ,Eternal Fusion
0,S,5,E,Relatively Flat,140,-698,-1,2,,4,1,2,1,4,1,BlankBigHeartCMix_03,,Advanced Drone Drive,Construction Nanites ,Hull Polarization,Vocation-Oriented Society,Dome Streamlining,Space Rehabilitation,Soylent Green,Superconducting Computing,Hive Mind ,Safe Mode,The Positronic Brain,Superior Cables
0,S,5,W,Relatively Flat,140,-1045,-10,2,,4,1,2,3,4,1,BlankBigTerraceCMix_08,Opportunity Landing Area,Wireless Power,Giant Crops,Hypersensitive Photovoltaics,Multispiral Architecture,Sustained Workload,Plutonium Synthesis,Neo-Concrete,Martian Steel,Good Vibrations,Service Bots,Martian Diet,Dry Farming
0,S,6,E,Relatively Flat,100,-929,-6,2,,4,1,2,2,4,1,BlankBig_01,Arabia Terra,Multispiral Architecture,Dry Farming,Superior Pipes,Superfungus,Core Metals,Vocation-Oriented Society,Soylent Green,Vector Pump,Wireless Power,Space Rehabilitation,Project Phoenix,Martian Diet
0,S,6,W,Relatively Flat,140,-1276,-1,2,,4,2,1,3,3,1,BlankBigTerraceCMix_04,Opportunity Landing Area,Extractor AI,Forever Young,Space Rehabilitation,Gem Architecture,Dry Farming,Nocturnal Adaptation,Superfungus,Plasma Rocket,Vocation-Oriented Society,Frictionless Composites,Martian Diet,Plutonium Synthesis
0,S,7,E,Relatively Flat,140,-814,-11,2,,4,1,2,3,4,1,BlankBigTerraceCMix_16,Arabia Terra,Gem Architecture,Vocation-Oriented Society,Rapid Sleep,Zero-Space Computing,Forever Young,Martian Diet,Soylent Green,Cryo-sleep,The Positronic Brain,Martian Steel,Neural Empathy,Superconducting Computing
0,S,7,W,Relatively Flat,100,-1506,-1,2,,4,2,1,3,3,1,BlankBig_02,,Rapid Sleep,Giant Crops,Superior Cables,Cloning,Project Phoenix,Superfungus,Neural Empathy,Factory Automation,Magnetic Extraction,Extractor AI,Martian Diet,Hull Polarization
0,S,8,E,Relatively Flat,100,-698,-15,2,,4,1,2,3,4,1,BlankBig_03,Arabia Terra,Inspiring Architecture,Soylent Green,Vocation-Oriented Society,Hive Mind ,Frictionless Composites,Hypersensitive Photovoltaics,Alien Imprints,Vector Pump,Neural Empathy,Printed Electronics,Plutonium Synthesis,The Positronic Brain
0,S,8,W,Relatively Flat,140,-1737,-1,2,,4,2,1,3,3,1,BlankBigTerraceCMix_04,,Prefab Compression,Advanced Drone Drive,Giant Crops,Vector Pump,The Positronic Brain,Inspiring Architecture,Alien Imprints,Interplanetary Learning,Overcharge Amplifications,Nocturnal Adaptation,Nano Refinement,Cryo-sleep
0,S,9,E,Relatively Flat,140,-814,-15,2,,4,1,2,3,4,1,BlankBigCliffsCMix_01,Arabia Terra,Hull Polarization,Hypersensitive Photovoltaics,Plutonium Synthesis,Overcharge Amplifications,Prefab Compression,Safe Mode,Superior Pipes,Neo-Concrete,Inspiring Architecture,Factory Automation,Soylent Green,Giant Crops
0,S,9,W,Relatively Flat,100,-1622,-1,2,,4,2,1,3,3,1,BlankBig_02,Opportunity Landing Area,Project Phoenix,Factory Automation,Construction Nanites ,Plasma Rocket,Extractor AI,Zero-Space Computing,Multispiral Architecture,Artificial Muscles,Good Vibrations,Forever Young,Sustained Workload,Autonomous Hubs
0,S,10,E,Relatively Flat,100,-698,-15,2,,4,1,2,3,4,1,BlankBigCanyonCMix_07,Arabia Terra,Vector Pump,Soylent Green,Forever Young,Hive Mind ,Core Rare Metals,Frictionless Composites,Alien Imprints,Cloning,Good Vibrations,Cryo-sleep,The Positronic Brain,Giant Crops
0,S,10,W,Relatively Flat,140,-1737,-1,2,,4,2,1,3,3,1,BlankBigHeartCMix_03,Opportunity Landing Area,Service Bots,Printed Electronics,Safe Mode,Hull Polarization,Magnetic Extraction,Good Vibrations,Hive Mind ,Plutonium Synthesis,Artificial Muscles,Autonomous Hubs,Martianborn Ingenuity,Martian Steel
0,S,11,E,Relatively Flat,100,-237,-15,2,,4,1,2,3,4,1,BlankBig_04,Arabia Terra,Zero-Space Computing,Inspiring Architecture,The Positronic Brain,Eternal Fusion,Autonomous Hubs,Vocation-Oriented Society,Superior Cables,Factory Automation,Hull Polarization,Superconducting Computing,Dome Streamlining,Martian Steel
0,S,11,W,Relatively Flat,140,-2314,-1,2,,4,2,1,1,3,1,BlankBigTerraceCMix_06,Opportunity Landing Area,Extractor AI,Giant Crops,Factory Automation,Superior Cables,Sustained Workload,Frictionless Composites,Hypersensitive Photovoltaics,Neo-Concrete,Construction Nanites ,Vector Pump,Overcharge Amplifications,Martian Diet
0,S,12,E,Steep,220,-237,-15,2,,4,1,2,3,4,1,BlankBigTerraceCMix_10,Arabia Terra,Superconducting Computing,Cloning,Prefab Compression,Plasma Rocket,Printed Electronics,Artificial Muscles,Overcharge Amplifications,Frictionless Composites,Wireless Power,Nocturnal Adaptation,Cryo-sleep,Autonomous Hubs
0,S,12,W,Relatively Flat,100,-1391,-1,3,,4,2,1,1,3,1,BlankBig_04,Opportunity Landing Area,Printed Electronics,Eternal Fusion,Hypersensitive Photovoltaics,Core Metals,Forever Young,Superior Pipes,Alien Imprints,Nocturnal Adaptation,Plasma Rocket,Superfungus,Vocation-Oriented Society,Artificial Muscles
0,S,13,E,Relatively Flat,140,-6,-15,2,,4,1,2,3,4,1,BlankBigHeartCMix_03,Arabia Terra,Construction Nanites ,Alien Imprints,Giant Crops,Forever Young,Superfungus,Plutonium Synthesis,Martianborn Ingenuity,The Positronic Brain,Space Rehabilitation,Superior Cables,Gene Selection,Superior Pipes
0,S,13,W,Relatively Flat,140,-1853,-1,3,,4,3,1,1,3,1,BlankBigTerraceCMix_04,Opportunity Landing Area,Gene Selection,Forever Young,The Positronic Brain,Superconducting Computing,Hypersensitive Photovoltaics,Service Bots,Core Water,Wireless Power,Inspiring Architecture,Extractor AI,Vector Pump,Neural Empathy
0,S,14,E,Relatively Flat,140,340,-15,2,,4,1,2,3,4,1,BlankBigCliffsCMix_01,Arabia Terra,Superconducting Computing,Good Vibrations,The Positronic Brain,Zero-Space Computing,Interplanetary Learning,Sustained Workload,Dome Streamlining,Nocturnal Adaptation,Cloning,Neural Empathy,Nano Refinement,Cryo-sleep
