Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12,Breakthrough 13,Breakthrough 14,Breakthrough 15,Breakthrough 16,Breakthrough 17
0,S,0,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigCliffsCMix_02,,Neural Empathy,Superconducting Computing,Rapid Sleep,Core Metals,Core Rare Metals,Gem Architecture,Soylent Green,Landscaping Nanites,Hive Mind ,The Positronic Brain,Frictionless Composites,Wireless Power,Lake Vaporators,Advanced Drone Drive,Nano Refinement,Overcharge Amplifications,Space Rehabilitation
0,S,1,E,Relatively Flat,100,-1160,-1,2,2,4,1,2,1,4,1,BlankBig_03,,Eternal Fusion,Cryo-sleep,Neural Empathy,Space Rehabilitation,Sustained Workload,Nano Refinement,Superconducting Computing,Rapid Sleep,Core Water,Superior Cables,Giant Crops,Printed Electronics,Superfungus,Magnetic Extraction,Multispiral Architecture,Neo-Concrete,Core Metals
0,S,1,W,Relatively Flat,100,-1160,-3,2,2,4,1,2,2,4,1,BlankBig_01,,Neural Empathy,Superfungus,Inspiring Architecture,Artificial Muscles,Good Vibrations,Frictionless Composites,Printed Electronics,Forever Young,Rapid Sleep,Nocturnal Adaptation,Superior Pipes,Gene Selection,Zero-Space Computing,Giant Crops,The Positronic Brain,Soylent Green,Plasma Rocket
0,S,2,E,Relatively Flat,140,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_16,,Alien Imprints,Inspiring Architecture,Martianborn Ingenuity,Multispiral Architecture,Core Water,Rapid Sleep,Safe Mode,Nano Refinement,Nocturnal Adaptation,Soylent Green,Martian Steel,Hypersensitive Photovoltaics,Space Rehabilitation,Hive Mind ,Frictionless Composites,Prefab Compression,Artificial Muscles
0,S,2,W,Relatively Flat,100,-929,-3,2,2,4,1,2,3,4,1,BlankBig_01,,Plutonium Synthesis,Neo-Concrete,Superfungus,Hull Polarization,Interplanetary Learning,Frictionless Composites,Autonomous Hubs,Project Phoenix,Advanced Drone Drive,Eternal Fusion,Construction Nanites ,Space Rehabilitation,Core Metals,Printed Electronics,Sustained Workload,Nocturnal Adaptation,Designed Forestation
0,S,3,E,Steep,220,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_10,,Neo-Concrete,Forever Young,Ancient Terraforming Device,Artificial Muscles,Autonomous Hubs,Multispiral Architecture,Plasma Rocket,Dry Farming,Printed Electronics,Lake Vaporators,Hypersensitive Photovoltaics,Nano Refinement,Superconducting Computing,Soylent Green,Zero-Space Computing,Superior Cables,Good Vibrations
0,S,3,W,Relatively Flat,140,-1276,-3,2,2,4,1,1,3,4,1,BlankBigHeartCMix_03,,Inspiring Architecture,Cryo-sleep,Service Bots,Project Phoenix,Construction Nanites ,Interplanetary Learning,Ancient Terraforming Device,Sustained Workload,Superfungus,Plutonium Synthesis,Nano Refinement,Neural Empathy,Superconducting Computing,Advanced Drone Drive,Vocation-Oriented Society,Martian Diet,Neo-Concrete
0,S,4,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_08,,Plutonium Synthesis,Neural Empathy,Service Bots,Wireless Power,Space Rehabilitation,Interplanetary Learning,Zero-Space Computing,Magnetic Extraction,Gem Architecture,Martian Steel,Hive Mind ,Landscaping Nanites,Neo-Concrete,Inspiring Architecture,Superconducting Computing,Martianborn Ingenuity,Dome Streamlining
0,S,4,W,Relatively Flat,100,-1160,-10,2,2,4,1,2,3,4,1,BlankBig_01,Opportunity Landing Area,Factory Automation,Dome Streamlining,Alien Imprints,Vocation-Oriented Society,Good Vibrations,Core Metals,Forever Young,Martian Diet,Service Bots,Superconducting Computing,Cloning,Dry Farming,Ancient Terraforming Device,Superior Pipes,Neural Empathy,Resilient Vegetation,Plutonium Synthesis
0,S,5,E,Relatively Flat,140,-698,-1,2,2,4,1,2,1,4,1,BlankBigHeartCMix_03,,Nano Refinement,Ancient Terraforming Device,Designed Forestation,Extractor AI,Forever Young,Gem Architecture,Neural Empathy,Landscaping Nanites,Alien Imprints,Soylent Green,Project Phoenix,Hull Polarization,Wireless Power,Plasma Rocket,Space Rehabilitation,Interplanetary Learning,Good Vibrations
0,S,5,W,Relatively Flat,140,-1045,-10,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_08,Opportunity Landing Area,Rapid Sleep,Eternal Fusion,Advanced Drone Drive,Autonomous Hubs,Vector Pump,Hypersensitive Photovoltaics,Plasma Rocket,Dome Streamlining,Superconducting Computing,Inspiring Architecture,Sustained Workload,Cloning,Vocation-Oriented Society,Superior Cables,Artificial Muscles,Hull Polarization,Designed Forestation
0,S,6,E,Relatively Flat,100,-929,-6,2,2,4,1,2,2,4,1,BlankBig_01,Arabia Terra,Vector Pump,Artificial Muscles,Printed Electronics,Neo-Concrete,Safe Mode,Extractor AI,Landscaping Nanites,Giant Crops,Rapid Sleep,Neural Empathy,Lake Vaporators,Superior Cables,Core Rare Metals,Overcharge Amplifications,Inspiring Architecture,Wireless Power,The Positronic Brain
0,S,6,W,Relatively Flat,140,-1276,-1,2,2,4,2,1,3,3,1,BlankBigTerraceCMix_04,Opportunity Landing Area,Cryo-sleep,Frictionless Composites,Vocation-Oriented Society,Neural Empathy,Interplanetary Learning,Artificial Muscles,Core Water,Neo-Concrete,Service Bots,Extractor AI,Dry Farming,Superior Cables,Dome Streamlining,The Positronic Brain,Hull Polarization,Project Phoenix,Zero-Space Computing
0,S,7,E,Relatively Flat,140,-814,-11,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_16,Arabia Terra,Interplanetary Learning,Extractor AI,Construction Nanites ,Gem Architecture,Martian Steel,Frictionless Composites,Superior Cables,Autonomous Hubs,Landscaping Nanites,Multispiral Architecture,Hull Polarization,Inspiring Architecture,Resilient Vegetation,Alien Imprints,Martianborn Ingenuity,Soylent Green,Magnetic Extraction
0,S,7,W,Relatively Flat,100,-1506,-1,2,2,4,2,1,3,3,1,BlankBig_02,,Plasma Rocket,Construction Nanites ,Eternal Fusion,Factory Automation,Wireless Power,Magnetic Extraction,Lake Vaporators,Neo-Concrete,Resilient Vegetation,Plutonium Synthesis,Superfungus,Cryo-sleep,Superior Cables,Designed Forestation,Inspiring Architecture,Hull Polarization,Vocation-Oriented Society
0,S,8,E,Relatively Flat,100,-698,-15,2,2,4,1,2,3,4,1,BlankBig_03,Arabia Terra,Martian Diet,Landscaping Nanites,Extractor AI,Soylent Green,Autonomous Hubs,Dry Farming,Advanced Drone Drive,Core Metals,Giant Crops,Resilient Vegetation,The Positronic Brain,Dome Streamlining,Hull Polarization,Zero-Space Computing,Core Water,Designed Forestation,Artificial Muscles
0,S,8,W,Relatively Flat,140,-1737,-1,2,2,4,2,1,3,3,1,BlankBigTerraceCMix_04,,Martianborn Ingenuity,Nano Refinement,Eternal Fusion,Giant Crops,Gem Architecture,Hull Polarization,Factory Automation,Martian Diet,Core Metals,Prefab Compression,Good Vibrations,Core Water,Nocturnal Adaptation,Multispiral Architecture,Gene Selection,Extractor AI,Printed Electronics
0,S,9,E,Relatively Flat,140,-814,-15,2,2,4,1,2,3,4,1,BlankBigCliffsCMix_01,Arabia Terra,Designed Forestation,Advanced Drone Drive,Dome Streamlining,Good Vibrations,Autonomous Hubs,Martianborn Ingenuity,Project Phoenix,Printed Electronics,Vocation-Oriented Society,Superconducting Computing,Martian Diet,Plutonium Synthesis,Landscaping Nanites,Eternal Fusion,Ancient Terraforming Device,Soylent Green,Factory Automation
0,S,9,W,Relatively Flat,100,-1622,-1,2,2,4,2,1,3,3,1,BlankBig_02,Opportunity Landing Area,Lake Vaporators,Plutonium Synthesis,Ancient Terraforming Device,Gem Architecture,Service Bots,Cryo-sleep,Martian Steel,Vector Pump,Gene Selection,Sustained Workload,Frictionless Composites,Hypersensitive Photovoltaics,Overcharge Amplifications,Vocation-Oriented Society,The Positronic Brain,Martian Diet,Wireless Power
0,S,10,E,Relatively Flat,100,-698,-15,2,2,4,1,2,3,4,1,BlankBigCanyonCMix_07,Arabia Terra,Factory Automation,Giant Crops,Landscaping Nanites,Frictionless Composites,Soylent Green,Autonomous Hubs,Space Rehabilitation,Dry Farming,Core Metals,Plasma Rocket,Magnetic Extraction,Sustained Workload,Multispiral Architecture,Hull Polarization,Eternal Fusion,Designed Forestation,Martianborn Ingenuity
0,S,10,W,Relatively Flat,140,-1737,-1,2,2,4,2,1,3,3,1,BlankBigHeartCMix_03,Opportunity Landing Area,Cloning,The Positronic Brain,Project Phoenix,Designed Forestation,Superfungus,Sustained Workload,Soylent Green,Dome Streamlining,Gene Selection,Overcharge Amplifications,Zero-Space Computing,Inspiring Architecture,Safe Mode,Alien Imprints,Prefab Compression,Eternal Fusion,Vector Pump
0,S,11,E,Relatively Flat,100,-237,-15,2,2,4,1,2,3,4,1,BlankBig_04,Arabia Terra,Martian Steel,Martian Diet,Hull Polarization,Superior Pipes,Overcharge Amplifications,Extractor AI,Wireless Power,Plutonium Synthesis,Designed Forestation,Alien Imprints,Forever Young,Inspiring Architecture,Good Vibrations,Hive Mind ,Artificial Muscles,Prefab Compression,Martianborn Ingenuity
0,S,11,W,Relatively Flat,140,-2314,-1,2,2,4,2,1,1,3,1,BlankBigTerraceCMix_06,Opportunity Landing Area,Cryo-sleep,Eternal Fusion,Plutonium Synthesis,Wireless Power,Hypersensitive Photovoltaics,Dry Farming,Advanced Drone Drive,Superconducting Computing,Ancient Terraforming Device,Giant Crops,Good Vibrations,Superior Cables,Cloning,Core Rare Metals,Frictionless Composites,Superfungus,Plasma Rocket
0,S,12,E,Steep,220,-237,-15,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_10,Arabia Terra,Alien Imprints,Magnetic Extraction,Martianborn Ingenuity,Service Bots,The Positronic Brain,Gene Selection,Good Vibrations,Dry Farming,Gem Architecture,Rapid Sleep,Core Water,Multispiral Architecture,Overcharge Amplifications,Safe Mode,Neural Empathy,Printed Electronics,Core Rare Metals
0,S,12,W,Relatively Flat,100,-1391,-1,3,3,4,2,1,1,3,1,BlankBig_04,Opportunity Landing Area,The Positronic Brain,Superior Pipes,Advanced Drone Drive,Safe Mode,Frictionless Composites,Printed Electronics,Core Metals,Core Water,Service Bots,Neo-Concrete,Extractor AI,Gene Selection,Multispiral Architecture,Plasma Rocket,Autonomous Hubs,Lake Vaporators,Landscaping Nanites
0,S,13,E,Relatively Flat,140,-6,-15,2,2,4,1,2,3,4,1,BlankBigHeartCMix_03,Arabia Terra,Ancient Terraforming Device,Core Metals,Eternal Fusion,Frictionless Composites,Neo-Concrete,Dome Streamlining,Zero-Space Computing,Hull Polarization,Neural Empathy,Wireless Power,Core Rare Metals,Printed Electronics,Advanced Drone Drive,Plasma Rocket,Magnetic Extraction,Rapid Sleep,Superconducting Computing
0,S,13,W,Relatively Flat,140,-1853,-1,3,3,4,3,1,1,3,1,BlankBigTerraceCMix_04,Opportunity Landing Area,Core Rare Metals,Factory Automation,Frictionless Composites,Hull Polarization,Alien Imprints,Advanced Drone Drive,Cloning,Hive Mind ,Rapid Sleep,Martian Diet,Cryo-sleep,Giant Crops,Gem Architecture,Resilient Vegetation,Lake Vaporators,Magnetic Extraction,Core Metals
0,S,14,E,Relatively Flat,140,340,-15,2,2,4,1,2,3,4,1,BlankBigCliffsCMix_01,Arabia Terra,Alien Imprints,Sustained Workload,Hull Polarization,Martian Steel,Prefab Compression,Hypersensitive Photovoltaics,Forever Young,Core Water,Magnetic Extraction,Resilient Vegetation,Nocturnal Adaptation,Multispiral Architecture,Dome Streamlining,Service Bots,Advanced Drone Drive,Extractor AI,Overcharge Amplifications
0,S,14,W,Relatively Flat,100,-1968,-1,3,3,4,3,1,1,3,1,BlankBig_03,,Vector Pump,Vocation-Oriented Society,Overcharge Amplifications,Sustained Workload,Project Phoenix,Designed Forestation,Factory Automation,Gem Architecture,Forever Young,Superior Pipes,Rapid Sleep,Neo-Concrete,Extractor AI,Eternal Fusion,Giant Crops,Superior Cables,Martianborn Ingenuity
0,S,15,E,Relatively Flat,140,225,-10,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_14,Arabia Terra,Lake Vaporators,Printed Electronics,Extractor AI,Good Vibrations,Alien Imprints,Cloning,Space Rehabilitation,Eternal Fusion,Factory Automation,Interplanetary Learning,Giant Crops,Multispiral Architecture,Sustained Workload,Artificial Muscles,Dry Farming,Inspiring Architecture,Plutonium Synthesis
0,S,15,W,Relatively Flat,140,-2314,-1,3,3,4,3,1,1,3,1,BlankBigTerraceCMix_14,,Superfungus,Frictionless Composites,Eternal Fusion,Martian Steel,Zero-Space Computing,Resilient Vegetation,Core Metals,Superior Cables,Core Rare Metals,Hull Polarization,Magnetic Extraction,Plasma Rocket,Martianborn Ingenuity,Superconducting Computing,Alien Imprints,Giant Crops,Soylent Green
0,S,16,E,Relatively Flat,140,-468,-1,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_06,Arabia Terra,Magnetic Extraction,Safe Mode,Core Water,Interplanetary Learning,Cryo-sleep,Extractor AI,Prefab Compression,Sustained Workload,Dome Streamlining,Martian Diet,Dry Farming,Resilient Vegetation,Forever Young,Superfungus,Rapid Sleep,Superconducting Computing,Artificial Muscles
0,S,16,W,Rough,180,-2430,-1,3,3,4,3,1,1,3,1,BlankBigCanyonCMix_04,Colony Site,Martian Steel,Vector Pump,Advanced Drone Drive,Hive Mind ,Project Phoenix,Service Bots,Core Metals,Superconducting Computing,Resilient Vegetation,Landscaping Nanites,Wireless Power,Superfungus,Martian Diet,Superior Pipes,Zero-Space Computing,Hypersensitive Photovoltaics,Printed Electronics
0,S,17,E,Relatively Flat,140,-237,-1,2,2,4,1,2,3,4,1,BlankBigTerraceCMix_04,Arabia Terra,Hive Mind ,Space Rehabilitation,Plutonium Synthesis,Vocation-Oriented Society,Nano Refinement,Core Water,Frictionless Composites,Safe Mode,Vector Pump,Alien Imprints,Artificial Muscles,Plasma Rocket,Nocturnal Adaptation,Ancient Terraforming Device,Good Vibrations,Martian Steel,Superconducting Computing
0,S,17,W,Relatively Flat,140,-2891,-1,3,3,4,3,1,1,3,1,BlankBigTerraceCMix_04,Colony Site,Core Water,Alien Imprints,Zero-Space Computing,Dome Streamlining,Gem Architecture,Gene Selection,Neo-Concrete,Wireless Power,Martian Steel,Space Rehabilitation,Artificial Muscles,Forever Young,Plasma Rocket,Landscaping Nanites,Dry Farming,Superior Pipes,Neural Empathy
0,S,18,E,Relatively Flat,100,-237,-6,2,2,4,1,2,3,4,1,BlankBig_02,Arabia Terra,Ancient Terraforming Device,Magnetic Extraction,Prefab Compression,Landscaping Nanites,Multispiral Architecture,Neural Empathy,Nano Refinement,Extractor AI,Inspiring Architecture,Vector Pump,Core Water,Lake Vaporators,Martianborn Ingenuity,Superior Cables,Hull Polarization,Gene Selection,Zero-Space Computing
0,S,18,W,Relatively Flat,100,-1276,-1,3,3,4,3,1,1,3,1,BlankBig_02,,Superfungus,Eternal Fusion,Sustained Workload,Good Vibrations,Superconducting Computing,Space Rehabilitation,Extractor AI,Safe Mode,Ancient Terraforming Device,Core Rare Metals,Gem Architecture,Core Water,Overcharge Amplifications,Frictionless Composites,Dome Streamlining,Hull Polarization,Nano Refinement
