Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12
0,S,0,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigCliffsCMix_02,,Soylent Green,Eternal Fusion,Neural Empathy,Printed Electronics,Core Water,Factory Automation,Project Phoenix,Global Support,Safe Mode,Rapid Sleep,Hypersensitive Photovoltaics,Space Rehabilitation
0,S,1,E,Relatively Flat,100,-1160,-1,2,2,4,1,2,1,4,1,BlankBig_03,,Martian Diet,Martianborn Ingenuity,Soylent Green,Hive Mind ,Magnetic Extraction,Superconducting Computing,Eternal Fusion,Neural Empathy,Core Metals,Core Rare Metals,Inspiring Architecture,Wireless Power
0,S,1,W,Relatively Flat,100,-1160,-3,2,2,4,1,2,2,4,1,BlankBig_01,,Soylent Green,Vector Pump,Artificial Muscles,Nano Refinement,Cloning,Hypersensitive Photovoltaics,Wireless Power,Sustained Workload,Neural Empathy,Alien Imprints,Superior Cables,Nocturnal Adaptation
0,S,2,E,Relatively Flat,140,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_16,,Superior Pipes,Artificial Muscles,Forever Young,Zero-Space Computing,Core Metals,Neural Empathy,The Positronic Brain,Superconducting Computing,Alien Imprints,Project Phoenix,Dry Farming,Superfungus
0,S,2,W,Relatively Flat,100,-929,-3,2,2,4,1,2,3,4,1,BlankBig_01,,Overcharge Amplifications,Giant Crops,Vector Pump,Vehicle Weight Optimizations,Gem Architecture,Plutonium Synthesis,Hypersensitive Photovoltaics,Plasma Rocket,Hull Polarization,Neo-Concrete,Martian Diet,Mole People
0,S,3,E,Steep,220,-1160,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_10,,Giant Crops,Sustained Workload,Capture Asteroid,Nano Refinement,Plasma Rocket,Zero-Space Computing,Vocation-Oriented Society,Advanced Drone Drive,Wireless Power,Construction Nanites ,Superfungus,Superconducting Computing
0,S,3,W,Relatively Flat,140,-1276,-3,2,2,4,1,1,3,4,1,BlankBigHeartCMix_03,,Artificial Muscles,Martianborn Ingenuity,Extractor AI,Hull Polarization,Mole People,Plutonium Synthesis,Capture Asteroid,Magnetic Extraction,Vector Pump,Overcharge Amplifications,Superconducting Computing,Soylent Green
0,S,4,E,Relatively Flat,140,-929,-1,2,2,4,1,2,1,4,1,BlankBigTerraceCMix_08,,Overcharge Amplifications,Soylent Green,Extractor AI,Space Rehabilitation,Hive Mind ,Plutonium Synthesis,Frictionless Composites,Multispiral Architecture,Factory Automation,Gem Architecture,Dry Farming,Safe Mode
0,S,4,W,Relatively Flat,100,-1160,-10,2,2,4,1,2,3,4,1,BlankBig_01,Opportunity Landing Area,Autonomous Hubs,Good Vibrations,Superior Pipes,Interplanetary Learning,Cloning,Printed Electronics,Sustained Workload,Gene Selection,Extractor AI,Eternal Fusion,Cryo-sleep,Advanced Drone Drive
0,S,5,E,Relatively Flat,140,-698,-1,2,2,4,1,2,1,4,1,BlankBigHeartCMix_03,,Gem Architecture,Superconducting Computing,Capture Asteroid,Cargobay of holding,Prefab Compression,Sustained Workload,Factory Automation,Soylent Green,Global Support,Superior Pipes,Project Phoenix,Hull Polarization
