Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12
0,S,0,E,Relatively Flat,140,-929,-1,2,,4,1,2,1,4,1,BlankBigCliffsCMix_02,,Neural Empathy,Superconducting Computing,Rapid Sleep,Core Metals,Core Rare Metals,Gem Architecture,Soylent Green,Landscaping Nanites,Hive Mind ,The Positronic Brain,Frictionless Composites,Wireless Power
0,S,1,E,Relatively Flat,100,-1160,-1,2,,4,1,2,1,4,1,BlankBig_03,,Eternal Fusion,Cryo-sleep,Neural Empathy,Space Rehabilitation,Sustained Workload,Nano Refinement,Superconducting Computing,Rapid Sleep,Core Water,Superior Cables,Giant Crops,Printed Electronics
0,S,1,W,Relatively Flat,100,-1160,-3,2,,4,1,2,2,4,1,BlankBig_01,,Neural Empathy,Superfungus,Inspiring Architecture,Artificial Muscles,Good Vibrations,Frictionless Composites,Printed Electronics,Forever Young,Rapid Sleep,Nocturnal Adaptation,Superior Pipes,Gene Selection
0,S,2,E,Relatively Flat,140,-1160,-1,2,,4,1,2,1,4,1,BlankBigTerraceCMix_16,,Alien Imprints,Inspiring Architecture,Martianborn Ingenuity,Multispiral Architecture,Core Water,Rapid Sleep,Safe Mode,Nano Refinement,Nocturnal Adaptation,Soylent Green,Martian Steel,Hypersensitive Photovoltaics
0,S,2,W,Relatively Flat,100,-929,-3,2,,4,1,2,3,4,1,BlankBig_01,,Plutonium Synthesis,Neo-Concrete,Superfungus,Hull Polarization,Interplanetary Learning,Frictionless Composites,Autonomous Hubs,Project Phoenix,Advanced Drone Drive,Eternal Fusion,Construction Nanites ,Space Rehabilitation
0,S,3,E,Steep,220,-1160,-1,2,,4,1,2,1,4,1,BlankBigTerraceCMix_10,,Neo-Concrete,Forever Young,Ancient Terraforming Device,Artificial Muscles,Autonomous Hubs,Multispiral Architecture,Plasma Rocket,Dry Farming,Printed Electronics,Lake Vaporators,Hypersensitive Photovoltaics,Nano Refinement
0,S,3,W,Relatively Flat,140,-1276,-3,2,,4,1,1,3,4,1,BlankBigHeartCMix_03,,Inspiring Architecture,Cryo-sleep,Service Bots,Project Phoenix,Construction Nanites ,Interplanetary Learning,Ancient Terraforming Device,Sustained Workload,Superfungus,Plutonium Synthesis,Nano Refinement,Neural Empathy
0,S,4,E,Relatively Flat,140,-929,-1,2,,4,1,2,1,4,1,BlankBigTerraceCMix_08,,Plutonium Synthesis,Neural Empathy,Service Bots,Wireless Power,Space Rehabilitation,Interplanetary Learning,Zero-Space Computing,Magnetic Extraction,Gem Architecture,Martian Steel,Hive Mind ,Landscaping Nanites
0,S,4,W,Relatively Flat,100,-1160,-10,2,,4,1,2,3,4,1,BlankBig_01,Opportunity Landing Area,Factory Automation,Dome Streamlining,Alien Imprints,Vocation-Oriented Society,Good Vibrations,Core Metals,Forever Young,Martian Diet,Service Bots,Superconducting Computing,Cloning,Dry Farming
0,S,5,E,Relatively Flat,140,-698,-1,2,,4,1,2,1,4,1,BlankBigHeartCMix_03,,Nano Refinement,Ancient Terraforming Device,Designed Forestation,Extractor AI,Forever Young,Gem Architecture,Neural Empathy,Landscaping Nanites,Alien Imprints,Soylent Green,Project Phoenix,Hull Polarization
